Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,,,3,4.49,Doubleday Canada,Hardcover,289,2016,2016,8/27/18,6/17/18,,,read,,,,1,0
35068432,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,"McNamara, Michelle","Gillian Flynn, Patton Oswalt",0062319809,9780062319807,4,4.12,Harper,ebook,352,2018,2018,,3/16/18,,,read,,,,1,0
6572270,Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,"Snyder, Timothy",,0465002390,9780465002399,5,4.38,Basic Books,Hardcover,524,2010,2010,,5/28/18,,,read,,,,2,0
32191706,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,"Rothstein, Richard",,1631492853,9781631492853,4,4.44,Liveright,Hardcover,368,2017,2017,,10/2/17,,,read,,,,1,0
28363972,The Last Days of Night,Graham Moore,"Moore, Graham",,0812988906,9780812988901,4,4.15,Random House,Hardcover,371,2016,2016,9/9/17,9/9/17,,,read,,,,1,0
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,,,5,4.28,Simon & Schuster,Paperback,916,2006,2005,,6/27/16,,,read,,,,1,0
30555488,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,0385542364,9780385542364,5,4.06,Doubleday,Hardcover,320,2016,2016,6/3/17,5/14/17,,,read,,,,1,0
26530386,"The Vital Question: Energy, Evolution, and the Origins of Complex Life",Nick Lane,"Lane, Nick",,0393352978,9780393352979,5,4.18,W. W. Norton & Company,Paperback,368,2016,2015,5/14/17,8/16/16,priority,priority (#1),read,,,,1,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,1476746583,9781476746586,5,4.31,Scribner,Hardcover,544,2014,2014,5/14/17,8/19/16,,,read,,,,1,0
17345217,"Things That Matter: Three Decades of Passions, Pastimes and Politics",Charles Krauthammer,"Krauthammer, Charles",,0385349173,9780385349178,4,4.22,Crown Forum,Hardcover,388,2013,2013,,5/2/17,,,read,,,,1,0
10884,Einstein: His Life and Universe,Walter Isaacson,"Isaacson, Walter",,0743264738,9780743264730,4,4.16,Simon & Schuster,Hardcover,675,2007,2007,,5/2/17,,,read,,,,1,0
43369,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"Hitchens, Christopher",,0446579807,9780446579803,4,3.96,Twelve Books,Hardcover,307,2007,2007,,3/19/17,,,read,,,,1,0
10445007,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"Larson, Erik",,,,4,3.88,Crown,Kindle Edition,466,2011,2011,8/16/16,8/8/16,,,read,,,,1,0
18206751,Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,"Aslan, Reza",,,,4,3.86,Random House,Kindle Edition,336,2013,2013,1/1/16,1/1/16,,,read,,,,1,0
28814679,The Earth Is Weeping: The Epic Story of the Indian Wars for the American West,Peter Cozzens,"Cozzens, Peter",,0307958043,9780307958044,0,4.28,Knopf,Hardcover,544,2016,2016,,7/11/24,to-read,to-read (#164),to-read,,,,0,0
